PLAYER_NAME,GAME_ID,GAME_DATE,TEAM,SEASON,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,TOV,STL,BLK,OREB,DREB,PF,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT
Anthony Davis,401809988,2025-10-30,DAL,2025-26,7.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.5,,
Anthony Davis,401809820,2025-11-29,DAL,2025-26,28.0,12.0,6.0,10.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,2.0,3.0,2.0,-4.0,0.6,0.0,
Anthony Davis,401810170,2025-12-02,DAL,2025-26,32.0,32.0,13.0,23.0,2.0,4.0,4.0,5.0,13.0,4.0,0.0,1.0,2.0,4.0,9.0,2.0,5.0,0.5652173913043478,0.5,0.8
Anthony Davis,401810187,2025-12-04,DAL,2025-26,28.0,17.0,7.0,17.0,2.0,4.0,1.0,2.0,17.0,4.0,4.0,1.0,3.0,1.0,16.0,0.0,5.0,0.4117647058823529,0.5,0.5
Anthony Edwards,401809942,2025-10-23,MIN,2025-26,39.0,41.0,14.0,28.0,5.0,10.0,8.0,8.0,7.0,1.0,4.0,0.0,1.0,1.0,6.0,4.0,9.0,0.5,0.5,1.0
Anthony Edwards,401809951,2025-10-25,MIN,2025-26,35.0,31.0,11.0,19.0,3.0,6.0,6.0,9.0,4.0,5.0,2.0,0.0,1.0,0.0,4.0,0.0,-17.0,0.5789473684210527,0.5,0.6666666666666666
Anthony Edwards,401809965,2025-10-26,MIN,2025-26,3.0,5.0,2.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.4,0.3333333333333333,
Anthony Edwards,401810030,2025-11-06,MIN,2025-26,29.0,15.0,5.0,13.0,3.0,7.0,2.0,3.0,2.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,-25.0,0.38461538461538464,0.42857142857142855,0.6666666666666666
Anthony Edwards,401809778,2025-11-08,MIN,2025-26,26.0,37.0,12.0,21.0,7.0,12.0,6.0,7.0,5.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,32.0,0.5714285714285714,0.5833333333333334,0.8571428571428571
Anthony Edwards,401810052,2025-11-10,MIN,2025-26,30.0,26.0,7.0,16.0,5.0,11.0,7.0,8.0,4.0,5.0,2.0,2.0,0.0,1.0,3.0,2.0,25.0,0.4375,0.45454545454545453,0.875
Anthony Edwards,401810060,2025-11-11,MIN,2025-26,38.0,35.0,13.0,25.0,5.0,9.0,4.0,4.0,6.0,6.0,1.0,0.0,1.0,0.0,6.0,3.0,13.0,0.52,0.5555555555555556,1.0
Anthony Edwards,401809786,2025-11-15,MIN,2025-26,36.0,30.0,9.0,20.0,1.0,7.0,11.0,12.0,4.0,4.0,3.0,2.0,0.0,0.0,4.0,2.0,9.0,0.45,0.14285714285714285,0.9166666666666666
Anthony Edwards,401810087,2025-11-16,MIN,2025-26,38.0,26.0,8.0,23.0,0.0,8.0,10.0,12.0,8.0,6.0,3.0,3.0,2.0,2.0,6.0,2.0,0.0,0.34782608695652173,0.0,0.8333333333333334
Anthony Edwards,401810101,2025-11-18,MIN,2025-26,29.0,13.0,5.0,14.0,1.0,7.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,14.0,0.35714285714285715,0.14285714285714285,1.0
Anthony Edwards,401810114,2025-11-20,MIN,2025-26,36.0,18.0,6.0,20.0,1.0,8.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.3,0.125,1.0
Anthony Edwards,401809795,2025-11-22,MIN,2025-26,40.0,41.0,14.0,24.0,5.0,11.0,8.0,12.0,5.0,4.0,5.0,4.0,1.0,0.0,5.0,4.0,-3.0,0.5833333333333334,0.45454545454545453,0.6666666666666666
Anthony Edwards,401810147,2025-11-25,MIN,2025-26,40.0,43.0,16.0,29.0,5.0,11.0,6.0,8.0,7.0,4.0,3.0,3.0,1.0,1.0,6.0,1.0,-12.0,0.5517241379310345,0.45454545454545453,0.75
Anthony Edwards,401809806,2025-11-27,MIN,2025-26,40.0,31.0,9.0,19.0,5.0,10.0,8.0,12.0,8.0,5.0,3.0,0.0,0.0,1.0,7.0,4.0,-8.0,0.47368421052631576,0.5,0.6666666666666666
Anthony Edwards,401810148,2025-11-29,MIN,2025-26,37.0,39.0,12.0,24.0,5.0,11.0,10.0,11.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,3.0,-1.0,0.5,0.45454545454545453,0.9090909090909091
Anthony Edwards,401810161,2025-12-01,MIN,2025-26,36.0,32.0,13.0,18.0,4.0,6.0,2.0,2.0,3.0,6.0,7.0,0.0,0.0,1.0,2.0,0.0,1.0,0.7222222222222222,0.6666666666666666,1.0
